feature,gain_importance,split_importance
last_is_auto_renew,1377622.1613473445,231
expiry_alignment_gap,635443.4284182433,1829
auto_renew_rate,205966.47924000723,821
total_amount_paid,166217.15948643774,3534
days_to_expire,163625.33455121424,2596
days_since_last_txn,123780.64720157837,2875
d90_active_days,114730.08893019753,2096
txn_count,66206.34745841287,1772
last_plan_list_price,55876.838962979615,1281
tenure_days,54048.128117023734,3324
expiry_alignment_abs_gap,52499.19062835444,1315
days_since_last_log,49158.777100619394,1868
d30_active_days,45925.84320002049,1318
remaining_plan_ratio,44884.04459468275,1353
active_rate_90,42538.38673059642,383
cancel_rate,38803.201361089945,1333
auto_renew_change,36954.198150239885,644
avg_amount_per_txn,32795.211776511744,2055
txn_per_tenure_month,32514.232824696228,3006
city,30385.24573278427,3212
registered_via,25390.2193171978,573
activity_change_30_90,22918.27081317641,2448
full_active_days,22620.40802524562,2704
last_actual_amount_paid,17943.072980821133,552
activity_change_7_30,16810.932677459903,2081
d7_active_days,16471.800908433273,459
full_completion_rate,16450.479125238955,2288
full_avg_total_secs,16006.265436323709,2172
avg_discount,15939.559977862984,1276
trend_secs_recent15_vs_prior15,15890.533994603436,2096
full_avg_num_unq,15555.294590672478,2149
d90_completion_rate,15065.717382900417,1931
last_payment_plan_days,14672.047565340996,290
completion_change_7_30,14511.278638012707,2055
bd_clean,13886.576767783612,1549
unq_ratio_7_30,13739.323154993355,1822
d7_avg_total_secs,13541.792656213045,1554
d90_avg_num_unq,13406.954701262759,1835
d30_avg_num_unq,13152.1545912344,1672
d30_completion_rate,13113.436020138673,1719
d90_avg_total_secs,13023.525445442647,1751
d30_avg_total_secs,12837.677790507674,1614
secs_ratio_7_30,12727.03594250977,1763
auto_cancel_interaction,12695.86208455963,566
d7_completion_rate,11607.921822696924,1531
d7_avg_num_unq,11581.70127301407,1352
payment_method_nunique,5666.034422783996,356
active_rate_30,5429.528751194477,213
active_rate_7,4359.953300893307,131
plan_days_nunique,3564.8915093336254,347
has_member_record,3542.8144725516904,56
gender,3189.8044165596366,484
cancel_count,2432.58417235408,149
bd_is_missing,1572.8942232429981,189
last_discount_rate,706.7809762954712,47
has_log_activity,14.755163133144379,4
has_transaction_record,0.0,0
